epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,374.945,0.19927,0.17266,0.18803,0.81922,0,0.99771,1,0.995,0.995,0.99771,1,0.995,0.995,0.10823,0.15176,0.09529,0.77048,0,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,381.841,0.22399,0.20361,0.19833,0.82116,0,0.99769,1,0.995,0.995,0.99769,1,0.995,0.995,0.11564,0.15201,0.10603,0.77135,0,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,388.485,0.21361,0.19669,0.18746,0.81985,0,0.99766,1,0.995,0.995,0.99766,1,0.995,0.995,0.11812,0.14734,0.11657,0.77019,0,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,395.266,0.20831,0.17909,0.19051,0.8317,0,0.99769,1,0.995,0.995,0.99769,1,0.995,0.995,0.10555,0.15112,0.10815,0.76987,0,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,402.249,0.21911,0.18353,0.19301,0.82604,0,0.99772,1,0.995,0.995,0.99772,1,0.995,0.995,0.12001,0.15547,0.11507,0.77214,0,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,409.065,0.2162,0.20178,0.1873,0.8347,0,0.9977,1,0.995,0.995,0.9977,1,0.995,0.995,0.13357,0.15935,0.12403,0.77177,0,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,416.107,0.22459,0.18176,0.19983,0.81624,0,0.9977,1,0.995,0.995,0.9977,1,0.995,0.995,0.11972,0.15895,0.11256,0.77133,0,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,423.476,0.19486,0.17572,0.17778,0.82309,0,0.99771,1,0.995,0.995,0.99771,1,0.995,0.995,0.13905,0.15855,0.1219,0.77327,0,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,431.055,0.18806,0.15773,0.17553,0.82358,0,0.99769,1,0.995,0.995,0.99769,1,0.995,0.995,0.13296,0.15977,0.11951,0.7722,0,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,438.757,0.21098,0.18453,0.18876,0.8226,0,0.99766,1,0.995,0.995,0.99766,1,0.995,0.995,0.1206,0.1605,0.09885,0.77093,0,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,445.69,0.20515,0.19084,0.18007,0.82888,0,0.99767,1,0.995,0.995,0.99767,1,0.995,0.995,0.11947,0.16352,0.11221,0.77088,0,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,454.132,0.21282,0.18341,0.18333,0.81093,0,0.99773,1,0.995,0.995,0.99773,1,0.995,0.995,0.11122,0.16547,0.10583,0.77054,0,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,461.913,0.19884,0.17606,0.16838,0.83366,0,0.9977,1,0.995,0.995,0.9977,1,0.995,0.995,0.12091,0.16804,0.10567,0.77095,0,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,469.669,0.19696,0.15931,0.17436,0.81278,0,0.99772,1,0.995,0.995,0.99772,1,0.995,0.995,0.12352,0.16179,0.11039,0.77048,0,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,476.94,0.2118,0.18063,0.18087,0.81863,0,0.99773,1,0.995,0.995,0.99773,1,0.995,0.995,0.11519,0.15725,0.10317,0.76998,0,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,484.021,0.19461,0.16892,0.17659,0.8264,0,0.99772,1,0.995,0.995,0.99772,1,0.995,0.995,0.1209,0.15652,0.11503,0.77073,0,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,491.746,0.20667,0.17212,0.17839,0.82587,0,1,1,0.995,0.995,1,1,0.995,0.995,0.10699,0.1579,0.09748,0.76955,0,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,498.928,0.18084,0.18575,0.16078,0.82311,0,0.9977,1,0.995,0.995,0.9977,1,0.995,0.995,0.11614,0.1628,0.11402,0.77,0,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,505.905,0.19159,0.18798,0.16214,0.81693,0,1,1,0.995,0.995,1,1,0.995,0.995,0.12055,0.16202,0.09605,0.77228,0,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,513.167,0.19159,0.1782,0.16542,0.81203,0,0.99771,1,0.995,0.995,0.99771,1,0.995,0.995,0.12775,0.16138,0.10113,0.77216,0,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,520.108,0.18476,0.18834,0.16027,0.82339,0,0.99771,1,0.995,0.995,0.99771,1,0.995,0.995,0.13012,0.16216,0.09674,0.77204,0,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,527.243,0.19765,0.22935,0.16828,0.83403,0,1,1,0.995,0.995,1,1,0.995,0.995,0.11899,0.15692,0.10096,0.77087,0,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,534.478,0.18797,0.19552,0.17162,0.81924,0,1,1,0.995,0.995,1,1,0.995,0.995,0.10886,0.15418,0.09423,0.77017,0,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,541.458,0.20014,0.18444,0.17544,0.81408,0,0.99771,1,0.995,0.995,0.99771,1,0.995,0.995,0.10572,0.15327,0.09978,0.77032,0,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,548.594,0.18358,0.18331,0.16284,0.81127,0,1,1,0.995,0.995,1,1,0.995,0.995,0.11154,0.15692,0.09632,0.76963,0,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,555.655,0.19788,0.16047,0.16287,0.83275,0,1,1,0.995,0.995,1,1,0.995,0.995,0.11047,0.15842,0.08794,0.7708,0,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,562.87,0.18764,0.15173,0.15681,0.82046,0,1,1,0.995,0.995,1,1,0.995,0.995,0.09391,0.16201,0.08917,0.76912,0,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,570.072,0.18213,0.17751,0.15349,0.8138,0,1,1,0.995,0.995,1,1,0.995,0.995,0.0881,0.15982,0.0852,0.76947,0,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,576.928,0.18407,0.17675,0.16131,0.83215,0,1,1,0.995,0.995,1,1,0.995,0.995,0.08293,0.15854,0.08264,0.76849,0,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,584.15,0.1842,0.17346,0.16231,0.8228,0,1,1,0.995,0.995,1,1,0.995,0.995,0.0882,0.15417,0.08451,0.76911,0,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,591.537,0.18919,0.16911,0.15596,0.81561,0,1,1,0.995,0.995,1,1,0.995,0.995,0.09035,0.15741,0.0814,0.76831,0,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,598.528,0.18152,0.16093,0.15398,0.82004,0,1,1,0.995,0.995,1,1,0.995,0.995,0.09741,0.16141,0.08541,0.76859,0,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
